               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.042972,             0.02954,           0.0059032,             0.73024,             0.57766,             0.64478,             0.26572,            0.046513,            0.030836,           0.0084094,            0.006535,            0.006535,            0.006535
                  37,            0.042609,            0.029725,           0.0062114,             0.74912,             0.56875,             0.64383,             0.26847,            0.046747,            0.030495,           0.0095077,            0.006436,            0.006436,            0.006436
                  38,            0.042197,            0.028639,           0.0055944,             0.69999,             0.61687,             0.65595,             0.27071,            0.046206,            0.030569,           0.0080929,            0.006337,            0.006337,            0.006337
                  39,              0.0423,            0.029152,           0.0056409,             0.74808,             0.59631,             0.66257,             0.27854,            0.045628,            0.030471,           0.0085054,            0.006238,            0.006238,            0.006238
                  40,            0.042638,            0.029534,           0.0054557,             0.75195,             0.57407,             0.64594,             0.25984,            0.046917,            0.030805,           0.0087828,            0.006139,            0.006139,            0.006139
                  41,            0.041668,            0.029579,           0.0054849,              0.6942,             0.58827,             0.63165,             0.25097,            0.047958,            0.030749,           0.0088727,             0.00604,             0.00604,             0.00604
                  42,            0.041955,            0.028934,           0.0052727,             0.73314,             0.59085,             0.64978,             0.27054,            0.046155,            0.030565,           0.0088229,            0.005941,            0.005941,            0.005941
                  43,            0.041412,            0.028646,            0.005302,             0.75263,             0.58114,             0.65857,             0.27372,            0.046132,            0.030365,           0.0087401,            0.005842,            0.005842,            0.005842
                  44,            0.041355,            0.028287,           0.0051624,             0.78315,             0.57203,             0.64953,             0.25916,            0.047219,            0.030759,            0.008379,            0.005743,            0.005743,            0.005743
                  45,            0.041352,            0.028801,           0.0056558,             0.70051,             0.61421,             0.65938,             0.27831,            0.045621,            0.030338,           0.0086155,            0.005644,            0.005644,            0.005644
                  46,            0.041512,            0.029076,           0.0052701,             0.75246,             0.60322,             0.67123,             0.27841,            0.045852,            0.030509,           0.0085082,            0.005545,            0.005545,            0.005545
                  47,            0.041302,            0.028634,           0.0052539,             0.73505,             0.58922,             0.64671,             0.27106,            0.046669,            0.030525,           0.0092142,            0.005446,            0.005446,            0.005446
                  48,            0.040902,            0.029106,           0.0052139,             0.74736,             0.61288,             0.66671,             0.26773,            0.046495,            0.030545,           0.0081391,            0.005347,            0.005347,            0.005347
                  49,            0.041229,            0.028498,           0.0051477,             0.72564,             0.61087,             0.66105,             0.27343,            0.045941,            0.030484,           0.0087077,            0.005248,            0.005248,            0.005248
                  50,            0.041291,            0.028933,           0.0050685,             0.75514,             0.59654,             0.66223,             0.27582,            0.045784,            0.030579,           0.0082939,            0.005149,            0.005149,            0.005149
                  51,            0.040583,            0.028308,            0.004978,             0.74416,             0.60011,               0.661,             0.28002,            0.045816,            0.030445,           0.0090509,             0.00505,             0.00505,             0.00505
                  52,            0.040848,            0.028102,           0.0050132,             0.73969,             0.60401,             0.66409,              0.2825,            0.045698,            0.030514,           0.0083182,            0.004951,            0.004951,            0.004951
                  53,            0.041213,            0.028701,           0.0051079,             0.77924,             0.57746,             0.65909,             0.26837,            0.046482,            0.030541,           0.0085049,            0.004852,            0.004852,            0.004852
                  54,            0.040637,            0.029115,           0.0049224,             0.76956,             0.58882,             0.65828,             0.27363,            0.045875,            0.030156,           0.0086274,            0.004753,            0.004753,            0.004753
                  55,            0.040091,            0.027826,            0.004909,             0.74699,             0.61753,              0.6717,             0.28018,              0.0454,            0.030419,           0.0079657,            0.004654,            0.004654,            0.004654
                  56,             0.03996,            0.027465,           0.0047504,              0.7422,             0.61093,             0.66491,             0.28104,            0.046023,            0.030576,           0.0081542,            0.004555,            0.004555,            0.004555
                  57,            0.040346,             0.02826,           0.0047381,             0.75409,             0.60981,             0.67764,             0.28208,            0.045345,            0.030207,           0.0084656,            0.004456,            0.004456,            0.004456
                  58,            0.039805,            0.027777,           0.0044185,             0.74476,             0.59263,             0.66109,             0.26897,            0.046624,            0.030373,           0.0087831,            0.004357,            0.004357,            0.004357
                  59,            0.039487,            0.027695,           0.0045073,              0.7343,             0.61892,             0.67675,             0.28449,            0.045754,            0.030214,           0.0083621,            0.004258,            0.004258,            0.004258
                  60,            0.039655,            0.028001,           0.0045545,             0.73502,             0.61915,             0.66523,             0.28289,            0.045837,            0.030346,           0.0082563,            0.004159,            0.004159,            0.004159
