               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.050205,            0.033414,           0.0052489,             0.74535,              0.5793,             0.61696,             0.31565,            0.042501,             0.02672,           0.0039928,            0.006535,            0.006535,            0.006535
                  37,            0.051319,            0.035482,           0.0055727,              0.7013,             0.59963,             0.62435,             0.33841,            0.040611,            0.025352,           0.0042018,            0.006436,            0.006436,            0.006436
                  38,            0.049418,            0.035356,           0.0056497,             0.73355,             0.57779,             0.61441,             0.31683,            0.041782,            0.025924,           0.0042241,            0.006337,            0.006337,            0.006337
                  39,            0.049762,            0.035492,           0.0054895,             0.77079,             0.56517,             0.61675,             0.33512,            0.039729,            0.025578,           0.0045047,            0.006238,            0.006238,            0.006238
                  40,            0.047368,            0.033866,           0.0053488,             0.81624,             0.58847,             0.63906,             0.33907,            0.039368,            0.025419,           0.0042763,            0.006139,            0.006139,            0.006139
                  41,            0.049405,            0.034643,           0.0055912,             0.82641,             0.55908,             0.63004,             0.34477,            0.040639,            0.025248,           0.0043859,             0.00604,             0.00604,             0.00604
                  42,            0.048462,            0.034938,           0.0061198,             0.78021,             0.60014,             0.63433,             0.34963,            0.039004,            0.025173,           0.0041218,            0.005941,            0.005941,            0.005941
                  43,            0.047517,            0.034468,           0.0052693,             0.77571,             0.60527,             0.64888,             0.35734,            0.038307,            0.025066,           0.0039026,            0.005842,            0.005842,            0.005842
                  44,            0.048411,            0.034925,           0.0053427,              0.7677,             0.60959,             0.63526,              0.3418,            0.040016,            0.026674,           0.0037472,            0.005743,            0.005743,            0.005743
                  45,            0.046577,            0.032237,           0.0051522,             0.82301,             0.55515,             0.63508,             0.33804,            0.039419,            0.025325,           0.0042645,            0.005644,            0.005644,            0.005644
                  46,            0.048223,            0.033622,           0.0052767,             0.77715,             0.63972,             0.66207,             0.35944,            0.038193,            0.024718,           0.0033988,            0.005545,            0.005545,            0.005545
                  47,            0.048749,            0.035535,           0.0049813,             0.78452,             0.60619,             0.64125,             0.34539,            0.039399,            0.024564,           0.0042611,            0.005446,            0.005446,            0.005446
                  48,            0.046405,            0.033193,           0.0048177,             0.79106,             0.59773,             0.64696,              0.3529,            0.037437,            0.024419,           0.0036752,            0.005347,            0.005347,            0.005347
                  49,            0.045378,            0.033329,           0.0047815,             0.78679,             0.60554,             0.64743,             0.35781,            0.037776,            0.024413,           0.0035339,            0.005248,            0.005248,            0.005248
